text_id	text_title	book_id	book_title	year
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000003850	BRUSSEL, KB : 12079	1550
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000006002	AMSTERDAM, BPH : ICN 158	1485
LEXI000000004507	Stimulus amoris, ongespecificeerd	TDRA000000007414	OSS, GA : z.s.	1460
LEXI000000021642	Ambrosius: In praeparatione ad missam, berijmd	TDRA000000006558	BRUGGE, GS : 72/175	1407
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000004726	DARMSTADT, HLHB : 193	1490
LEXI000000004476	gebed tot de drievuldigheid uit Meditationum liber unus	TDRA000000001350	LEIDEN, UB : LTK 321	1525
LEXI000000004448	Augustinus	TDRA000000006172	WIESBADEN, HSA : 3004 B 10	1410
LEXI000000004750	Anselmus van Canterbury	TDRA000000002832	PARIJS, BN : Néerl. 35	1450
LEXI000000006942	gebedenkrans	TDRA000000001352	LEIDEN, UB : LTK 323	1475
LEXI000000006942	gebedenkrans	TDRA000000001352	LEIDEN, UB : LTK 323	1475
LEXI000000005105	Die dorne croene Ons Heeren	TDRA000000001346	LEIDEN, UB : LTK 317	1500
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000005011	KEULEN, HA : W* 254	1450
LEXI000000007942	Vader danc ende lof soe moet ghi hebben	TDRA000000001350	LEIDEN, UB : LTK 321	1525
LEXI000000004522	Bernardus van Clairvaux	TDRA000000005830	Olim LÜBECK, SB : Theol. Germ. 94	1513
LEXI000000004448	Augustinus	TDRA000000004717	DARMSTADT, HLHB : 1876	1456
LEXI000000004522	Bernardus van Clairvaux	TDRA000000008128	TILBURG, UB : KHS 19	1564
LEXI000000004530	Gebeden tot de lijdenswerktuigen van Christus op naam van Gregorius	TDRA000000003363	'S-GRAVENHAGE, KB : 133 F 7	1450
LEXI000000004659	Gregorius de Grote	TDRA000000008148	ZÜRICH, ZB : Rh. 187	1450
LEXI000000004555	Bonaventura	TDRA000000006040	Olim LEUVEN, UB : D 380 (verloren)	1526
LEXI000000004522	Bernardus van Clairvaux	TDRA000000003703	BRUSSEL, KB : 3090	1550
LEXI000000006326	Leven van S. Amand	TDRA000000003952	BRUSSEL, KB : 19588	1450
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000005222	'S-GRAVENHAGE, KB : 74 F 2	1481
LEXI000000006961	Ave tempel der Triniteit	TDRA000000001684	BRUSSEL, KB : IV 93	1433
LEXI000000004448	Augustinus	TDRA000000005388	MÜNCHEN, BSB : Cgm 864	1500
LEXI000000004522	Bernardus van Clairvaux	TDRA000000004386	LONDEN, BL : Add. 19917	1500
LEXI000000004448	Augustinus	TDRA000000005597	ANTWERPEN, SB : B 141155	1475
LEXI000000004472	Pro custodienta humilitate et cognitione humanae fragilitatis	TDRA000000005597	ANTWERPEN, SB : B 141155	1475
LEXI000000009166	korte getijden van het H. Kruis	TDRA000000003850	BRUSSEL, KB : 12079	1550
LEXI000000005127	Oratio de septem verbis Christi in cruce, in proza	TDRA000000001346	LEIDEN, UB : LTK 317	1500
LEXI000000022406	Eest drooghe eest nat // deus benedicat	TDRA000000004462	LONDEN, BL : Sloane 1174	1544
LEXI000000004530	Gebeden tot de lijdenswerktuigen van Christus op naam van Gregorius	TDRA000000007919	PHILADELPHIA, FL : XVIII.8	0
LEXI000000004148	Onze Vader	TDRA000000001353	LEIDEN, UB : LTK 324	1500
LEXI000000005180	Gebed tot alle heiligen	TDRA000000005492	CUIJK, SA : 27	1479
LEXI000000004876	Hubertinus de Casale	TDRA000000005966	PURMEREND, WA : MONNICKENDAM 155	1486
LEXI000000004750	Anselmus van Canterbury	TDRA000000006041	'S-GRAVENHAGE, KB : KA 37	1475
LEXI000000004448	Augustinus	TDRA000000005968	UTRECHT, UB : 5 J 27	1450
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000004731	DARMSTADT, HLHB : 1936	1509
LEXI000000004649	het gebed Adore te	TDRA000000001346	LEIDEN, UB : LTK 317	1500
LEXI000000004750	Anselmus van Canterbury	TDRA000000007460	Olim LE ROY DU VIVIER (Munsterbilsen) : z.s.	1527
LEXI000000004522	Bernardus van Clairvaux	TDRA000000007281	Olim WIEDER (Noordwijk) : z.s.	1570
LEXI000000004448	Augustinus	TDRA000000005966	PURMEREND, WA : MONNICKENDAM 155	1486
LEXI000000004522	Bernardus van Clairvaux	TDRA000000008054	WIEGERSMA (Deurne) : z.s.	0
LEXI000000022255	Ave salus mundi	TDRA000000005671	BRUGGE, SB : 568	1450
LEXI000000004448	Augustinus	TDRA000000003671	BRUSSEL, KB : 2883	1450
LEXI000000004750	Anselmus van Canterbury	TDRA000000001375	LEIDEN, UB : LTK 349	1425
LEXI000000004750	Anselmus van Canterbury	TDRA000000005671	BRUGGE, SB : 568	1450
LEXI000000004522	Bernardus van Clairvaux	TDRA000000004617	KOPENHAGEN, KB : Thott 132 Oct.	1478
LEXI000000004184	Seghelijn van Jherusalem	TDRA000000003915	BRUSSEL, KB : 18270	1550
LEXI000000005214	Hugo van Sint-Victor	TDRA000000007281	Olim WIEDER (Noordwijk) : z.s.	1570
LEXI000000004522	Bernardus van Clairvaux	TDRA000000011080	JASPERS (Aerdenhout) : z.s.	1440
LEXI000000004522	Bernardus van Clairvaux	TDRA000000007460	Olim LE ROY DU VIVIER (Munsterbilsen) : z.s.	1527
LEXI000000004645	gebed Omnipotens sempiterne Deus, ecce accedo	TDRA000000001350	LEIDEN, UB : LTK 321	1525
LEXI000000005265	Franciscus van Assisi	TDRA000000004726	DARMSTADT, HLHB : 193	1490
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000003805	BRUSSEL, KB : 10763-64	1550
LEXI000000005210	In praesentia corporis et sanguinis tui	TDRA000000001346	LEIDEN, UB : LTK 317	1500
LEXI000000004001	Bernardus van Clairvaux: Sermones super Cantica canticorum, ongespecificeerd	TDRA000000001477	LEIDEN, UB : LTK 1666	1450
LEXI000000004448	Augustinus	TDRA000000000505	UTRECHT, MCC : BMH 107	1512
LEXI000000004448	Augustinus	TDRA000000007744	HERENTALS, KLOOSTER : 1	1484
LEXI000000004448	Augustinus	TDRA000000003457	'S-GRAVENHAGE, KB : 73 G 29	1437
LEXI000000004751	Jean de Fécamp: Invoco te	TDRA000000001349	LEIDEN, UB : LTK 320	1512
LEXI000000009193	Brief aan Keizer Karel met gebed	TDRA000000007529	ASSEN, DA : Oldenhuis Gratama 929	1480
LEXI000000004652	Thomas van Aquino	TDRA000000001982	KEULEN, HA : W Sed. 39	0
LEXI000000004522	Bernardus van Clairvaux	TDRA000000004737	DARMSTADT, HLHB : 1903	1500
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000005388	MÜNCHEN, BSB : Cgm 864	1500
LEXI000000004493	Miserere	TDRA000000001350	LEIDEN, UB : LTK 321	1525
LEXI000000022201	De zeven banden van Jezus	TDRA000000004299	CAMBRIDGE, FM : 270	1550
LEXI000000004522	Bernardus van Clairvaux	TDRA000000004728	DARMSTADT, HLHB : 1938	1520
LEXI000000005265	Franciscus van Assisi	TDRA000000002493	WENEN, ONB : 15229	1612
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000007460	Olim LE ROY DU VIVIER (Munsterbilsen) : z.s.	1527
LEXI000000004103	Gregorius de Grote: Homiliae in evangelia	TDRA000000002755	'S-HEERENBERG, HB : 21	1465
LEXI000000004001	Bernardus van Clairvaux: Sermones super Cantica canticorum, ongespecificeerd	TDRA000000006071	AMSTERDAM, UB : V J 10	1465
LEXI000000004652	Thomas van Aquino	TDRA000000007259	LÜBECK, SB : Theol. Germ. 64	0
LEXI000000007685	Communiegebed , Ad te fontem  misericordiae	TDRA000000001346	LEIDEN, UB : LTK 317	1500
LEXI000000009162	lange getijden van het H. Kruis	TDRA000000011882	Olim SOTHEBY'S (Londen) : Cat. 1984-07-03, nr.89	1440
LEXI000000004469	Gebed op naam van Augustinus bij de zeven boetpsalmen	TDRA000000001346	LEIDEN, UB : LTK 317	1500
LEXI000000021687	Sente Goedele reine maget	TDRA000000005898	BRUSSEL, KB : 15589-623	1406
LEXI000000009163	getijden van de Heilige Geest	TDRA000000002036	BOEDAPEST, OSK : Holl. 6	1505
LEXI000000021537	Gulden zielen troest	TDRA000000009088	LEUVEN, UB : 6	1487
LEXI000000004522	Bernardus van Clairvaux	TDRA000000001326	LEIDEN, UB : LTK 294	1487
LEXI000000004031	Henricus Suso: Horologium aeternae sapientiae	TDRA000000000484	UTRECHT, MCC : BMH 64	1456
LEXI000000007938	Gulden gebed voor de overledenen	TDRA000000001350	LEIDEN, UB : LTK 321	1525
LEXI000000004029	Büchlein der ewigen Weisheit	TDRA000000003420	'S-GRAVENHAGE, KB : 133 F 15	1475
LEXI000000004448	Augustinus	TDRA000000007522	BRUSSEL, KB : IV 199	1450
LEXI000000004530	Gebeden tot de lijdenswerktuigen van Christus op naam van Gregorius	TDRA000000001346	LEIDEN, UB : LTK 317	1500
LEXI000000004448	Augustinus	TDRA000000002836	PARIJS, BN : Néerl. 40	1550
LEXI000000003936	De grote Der sielen troest	TDRA000000000867	LEIDEN, UB : LTK 226	1462
LEXI000000004750	Anselmus van Canterbury	TDRA000000000565	ROTTERDAM, GB : 96 F 6	1500
LEXI000000004522	Bernardus van Clairvaux	TDRA000000007281	Olim WIEDER (Noordwijk) : z.s.	1570
LEXI000000004448	Augustinus	TDRA000000004012	BRUSSEL, KB : II 278	1475
LEXI000000004448	Augustinus	TDRA000000007736	DOWAAI, BM : 1175	1475
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000002708	'S-GRAVENHAGE, KB : 72 J 8	1437
LEXI000000004902	Hieronymus	TDRA000000005388	MÜNCHEN, BSB : Cgm 864	1500
LEXI000000004902	Hieronymus	TDRA000000007280	RIJSEL, BM : Olim 62	1450
LEXI000000021802	Ave preclara maris stella	TDRA000000010393	TRIER, BA : s.o.	1450
LEXI000000004448	Augustinus	TDRA000000003829	BRUSSEL, KB : 11231-36	1525
LEXI000000004522	Bernardus van Clairvaux	TDRA000000007920	RIJSEL, BM : Olim 68	1450
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000000482	UTRECHT, MCC : BMH 62	1450
LEXI000000004448	Augustinus	TDRA000000001350	LEIDEN, UB : LTK 321	1525
LEXI000000003936	De grote Der sielen troest	TDRA000000004681	NEW YORK, PML : M. 76	1450
LEXI000000004812	Arnulf van Leuven: Salve meum salutare	TDRA000000004533	LONDEN, BL : Burney 338	1487
LEXI000000004448	Augustinus	TDRA000000004974	UTRECHT, MCC : ABM 38	1450
LEXI000000004522	Bernardus van Clairvaux	TDRA000000003986	BRUSSEL, KB : 21953	1475
LEXI000000004448	Augustinus	TDRA000000000505	UTRECHT, MCC : BMH 107	1512
LEXI000000004522	Bernardus van Clairvaux	TDRA000000000506	UTRECHT, MCC : BMH 108	1512
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000001381	LEIDEN, UB : LTK 356	1475
LEXI000000007604	O nuda humanitas	TDRA000000007603	BOSTON, PL : q. Med. 33	1475
LEXI000000004522	Bernardus van Clairvaux	TDRA000000007405	ROME, BAV : Vat. Lat. 9216	1450
LEXI000000004522	Bernardus van Clairvaux	TDRA000000004634	KOPENHAGEN, KB : NKS 1031 Oct.	1480
LEXI000000007942	Vader danc ende lof soe moet ghi hebben	TDRA000000001354	LEIDEN, UB : LTK 325	1525
LEXI000000004522	Bernardus van Clairvaux	TDRA000000001772	BRUSSEL, KB : IV 414	1460
LEXI000000021634	Juste judex Jhesu Criste	TDRA000000003672	BRUSSEL, KB : 2905-09	1425
LEXI000000004448	Augustinus	TDRA000000005597	ANTWERPEN, SB : B 141155	1475
LEXI000000021392	Lof eere glorie van tije tot tyen	TDRA000000004462	LONDEN, BL : Sloane 1174	1544
LEXI000000021682	stokregel Lof alder zuverste gods tresorie	TDRA000000009370	'S-GRAVENHAGE, KB : 71 E 57	1584
LEXI000000004036	de Revelationes caelestes van Birgitta van Zweden	TDRA000000005083	UDEN, BMR : H Bn 4	1600
LEXI000000004583	Alanus de Rupe: Psalterium Virginis Mariae	TDRA000000015506	Olim MULLER (Amsterdam) : Cat. 1906-04-3/6, nr. 37	1512
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000004534	LONDEN, BL : Burney 339	0
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000003822	BRUSSEL, KB : 11171	1450
LEXI000000022562	Mnl. bewerking van Adolf van Essen: Rosengertelin	TDRA000000004724	DARMSTADT, HLHB : 992	1496
LEXI000000004555	Bonaventura	TDRA000000007976	VAN DER LANDE (Diepenveen) : z.s.	0
LEXI000000021630	Christina nobilissimis parentibus orta in Tyro Italiae	TDRA000000004431	LONDEN, BL : Add. 39638	1445
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000001333	LEIDEN, UB : LTK 301	1525
LEXI000000004522	Bernardus van Clairvaux	TDRA000000005740	LUIK, UB : Wittert 32	1440
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000003982	BRUSSEL, KB : 21893	1482
LEXI000000004750	Anselmus van Canterbury	TDRA000000005388	MÜNCHEN, BSB : Cgm 864	1500
LEXI000000004583	Alanus de Rupe: Psalterium Virginis Mariae	TDRA000000001353	LEIDEN, UB : LTK 324	1500
LEXI000000004522	Bernardus van Clairvaux	TDRA000000000556	ROTTERDAM, GB : 96 G 12	1422
LEXI000000004659	Gregorius de Grote	TDRA000000006022	ZÜRICH, ZB : C 137	1470
LEXI000000022623	Gebed tegen de pest op naam van paus Clemens	TDRA000000005597	ANTWERPEN, SB : B 141155	1475
LEXI000000004659	Gregorius de Grote	TDRA000000003992	BRUSSEL, KB : 21975	1550
LEXI000000022623	Gebed tegen de pest op naam van paus Clemens	TDRA000000003829	BRUSSEL, KB : 11231-36	1525
LEXI000000005097	Jean de Fécamp: Summe sacerdos et vere pontifex	TDRA000000005376	MÜNCHEN, BSB : Cgm 160	1487
LEXI000000004448	Augustinus	TDRA000000005597	ANTWERPEN, SB : B 141155	1475
LEXI000000021685	Maria vrouwe edel maghet	TDRA000000005898	BRUSSEL, KB : 15589-623	1406
LEXI000000004448	Augustinus	TDRA000000008021	LINCOLN, CCL : 301	1475
LEXI000000004522	Bernardus van Clairvaux	TDRA000000001156	UTRECHT, UB : Cat. 1031	1450
LEXI000000006326	Leven van S. Amand	TDRA000000003952	BRUSSEL, KB : 19588	1450
LEXI000000004448	Augustinus	TDRA000000003986	BRUSSEL, KB : 21953	1475
LEXI000000004522	Bernardus van Clairvaux	TDRA000000001156	UTRECHT, UB : Cat. 1031	1450
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000006034	KARLSRUHE, BLB : 1307	1450
LEXI000000004464	Gebed op naam van Augustinus op zijn sterfbed	TDRA000000002184	LEIPZIG, UB : 1658	0
LEXI000000004448	Augustinus	TDRA000000006558	BRUGGE, GS : 72/175	1407
LEXI000000004522	Bernardus van Clairvaux	TDRA000000003839	BRUSSEL, KB : 11795	1450
LEXI000000004448	Augustinus	TDRA000000005597	ANTWERPEN, SB : B 141155	1475
LEXI000000004448	Augustinus	TDRA000000013233	EMDEN, GK : Qu. 76	1480
LEXI000000004448	Augustinus	TDRA000000005388	MÜNCHEN, BSB : Cgm 864	1500
LEXI000000004522	Bernardus van Clairvaux	TDRA000000006022	ZÜRICH, ZB : C 137	1470
LEXI000000005105	Die dorne croene Ons Heeren	TDRA000000005597	ANTWERPEN, SB : B 141155	1475
LEXI000000004522	Bernardus van Clairvaux	TDRA000000000550	ROTTERDAM, GB : 96 E 4	1375
LEXI000000004522	Bernardus van Clairvaux	TDRA000000005671	BRUGGE, SB : 568	1450
LEXI000000006942	gebedenkrans	TDRA000000001352	LEIDEN, UB : LTK 323	1475
LEXI000000004522	Bernardus van Clairvaux	TDRA000000004633	KOPENHAGEN, KB : NKS 43 Oct.	1450
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000007456	Olim NIJHOFF ('s-Gravenhage) : 3 (BNM)	1535
LEXI000000004184	Seghelijn van Jherusalem	TDRA000000005898	BRUSSEL, KB : 15589-623	1406
LEXI000000004876	Hubertinus de Casale	TDRA000000000526	TILBURG, UB : KHS 11	1487
LEXI000000021652	Christus et sanctus Johannes, berijmd	TDRA000000003952	BRUSSEL, KB : 19588	1450
LEXI000000022415	Warimont, Petrus	TDRA000000012440	EUGENE, BC : 18	1484
LEXI000000004522	Bernardus van Clairvaux	TDRA000000003986	BRUSSEL, KB : 21953	1475
LEXI000000004522	Bernardus van Clairvaux	TDRA000000005849	WEERT, GM : CMW 31	1487
LEXI000000003329	Eerste evangeliënharmonie samengesteld uit Johan Scutken: Noordnederlandse vertaling van Nieuwe Testament	TDRA000000001600	DEVENTER, SAB : Hs. I, 24 (101 E 15 KL)	1505
LEXI000000021163	Sulvenite sancti Dei, occurite angeli Domini	TDRA000000004006	BRUSSEL, KB : II 166	1510
LEXI000000004522	Bernardus van Clairvaux	TDRA000000007281	Olim WIEDER (Noordwijk) : z.s.	1570
LEXI000000004882	Gregorius XI: Gebed tot de vijf wonden van Christus	TDRA000000001346	LEIDEN, UB : LTK 317	1500
LEXI000000004522	Bernardus van Clairvaux	TDRA000000007923	RIJSEL, BM : 43	1450
LEXI000000004750	Anselmus van Canterbury	TDRA000000000497	UTRECHT, MCC : BMH 98	1500
LEXI000000005211	Ambrosius	TDRA000000000362	NIJMEGEN, UB : 313	1450
LEXI000000005265	Franciscus van Assisi	TDRA000000002557	WEIMAR, HAAB : Oct. 81	1512
LEXI000000021537	Gulden zielen troest	TDRA000000009088	LEUVEN, UB : 6	1487
LEXI000000004522	Bernardus van Clairvaux	TDRA000000001352	LEIDEN, UB : LTK 323	1475
LEXI000000004555	Bonaventura	TDRA000000006074	WESTMALLE, TRAPPISTEN : Liturgia A 15	1487
LEXI000000004522	Bernardus van Clairvaux	TDRA000000003364	'S-GRAVENHAGE, KB : 133 E 26	1475
LEXI000000004448	Augustinus	TDRA000000002641	'S-GRAVENHAGE, KB : 135 E 18	1480
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000001346	LEIDEN, UB : LTK 317	1500
LEXI000000022408	Lof God van desen als u belieft salt beter wesen	TDRA000000004462	LONDEN, BL : Sloane 1174	1544
LEXI000000004448	Augustinus	TDRA000000001350	LEIDEN, UB : LTK 321	1525
LEXI000000004448	Augustinus	TDRA000000004727	DARMSTADT, HLHB : 1888	1520
LEXI000000004049	Otto van Passau: Die vierundzwanzig Alten	TDRA000000001696	BRUSSEL, KB : IV 195	1512
LEXI000000004522	Bernardus van Clairvaux	TDRA000000004974	UTRECHT, MCC : ABM 38	1450
LEXI000000004659	Gregorius de Grote	TDRA000000008151	Olim MAASTRICHT, MINDERBROEDERS : 2	1425
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000005141	AMSTERDAM, UB : VIII D 26	1467
LEXI000000003633	Die clausule van der Bible	TDRA000000003915	BRUSSEL, KB : 18270	1550
LEXI000000005211	Ambrosius	TDRA000000007407	UDEN, MRK : s.o.	1530
LEXI000000004448	Augustinus	TDRA000000006030	JERNBECK (Stockholm) : z.s.	1530
LEXI000000023071	Drieëndertig vermaningen aan Jezus	TDRA000000009233	LEIDEN, UB : LTK 2220	1490
LEXI000000004448	Augustinus	TDRA000000000563	ROTTERDAM, GB : 96 E 7	1490
LEXI000000007604	O nuda humanitas	TDRA000000011794	CHICAGO, NL : 61	1471
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000002521	SINT-PETERSBURG, BSS : Goll. O.I, 2	1470
LEXI000000003936	De grote Der sielen troest	TDRA000000004681	NEW YORK, PML : M. 76	1450
LEXI000000003878	Die rolie vander woedegher minnen	TDRA000000005724	KAAPSTAD, NLSA : Grey 3 c 4	1450
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000005270	TILBURG, TF : TFK HS 9	1450
LEXI000000004659	Gregorius de Grote	TDRA000000001326	LEIDEN, UB : LTK 294	1487
LEXI000000004448	Augustinus	TDRA000000002173	KRAKOW, MN : Czart. 2943	1415
LEXI000000006942	gebedenkrans	TDRA000000001352	LEIDEN, UB : LTK 323	1475
LEXI000000004750	Anselmus van Canterbury	TDRA000000007290	SINT-TRUIDEN, IFG : B 66	0
LEXI000000004435	Sinte Augustinus suchtinge	TDRA000000002269	AMSTERDAM, UB : I G 28	1490
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000006017	UTRECHT, MCC : s.o.	1545
LEXI000000004448	Augustinus	TDRA000000007259	LÜBECK, SB : Theol. Germ. 64	0
LEXI000000004555	Bonaventura	TDRA000000002188	SINT-PETERSBURG, BAN : O 255	1525
LEXI000000004522	Bernardus van Clairvaux	TDRA000000006259	Olim LEUVEN, UB : G 70 (verloren)	1487
LEXI000000004522	Bernardus van Clairvaux	TDRA000000003063	BERLIJN, SBB-PK : Germ. Oct. 588	1462
LEXI000000004281	Mechtild van Hackeborn: Liber specialis gratiae	TDRA000000001350	LEIDEN, UB : LTK 321	1525
LEXI000000004659	Gregorius de Grote	TDRA000000004379	LONDEN, BL : Add. 17445	0
